BUSINESS_UNIT;TREE_NODE;AJ_TIPO_LOCA_ID;AJ_DESCR150;TREE_NODE_NUM;PARENT_NODE_NUM
AJM01;ESPTF10-RH01ME02    ;HIJO N1;MOTOR DE TRACCION;471899741;470115621
AJM01;ESPTF10-RH01RD01    ;HIJO N1;REDUCTOR DE LOS RODILLOS;472791801;470115621
AJM01;ESPTF10-RL01        ;PADRE;RODILLOS LAMINADORES;473683861;438893521
AJM01;ESPTF10-RL01ME01    ;HIJO N1;MOTOR ACCIONAMIENTO-RODILLOS;474575921;473683861
AJM01;ESPTF10-RL01ME02    ;HIJO N1;MOTOR TRACCION (PIÑON-CADENA);475467981;473683861
AJM01;ESPTF10-RL01RD01    ;HIJO N1;REDUCTOR ACCIONAMIENTO-RODILLO;476360041;473683861
AJM01;ESPTF10-RL01RD02    ;HIJO N1;REDUC. TRACCION (PIÑON-CADENA);477252101;473683861
AJM01;ESPTF10-RL01SH01    ;HIJO N1;SISTEMA HIDRAULICO-RODILLOS;478144161;473683861
AJM01;ESPTF10-RL01SH01BH01;HIJO N2;BOMBA HIDRAULICA;479036221;478144161
AJM01;ESPTF10-RL01SH01ME01;HIJO N2;MOTOR BOMBA HIDRAULICA;479928281;478144161
AJM01;ESPTF10-RL01SR01    ;HIJO N1;SISTEMA REFRIGERACIÓN RODILLOS;480820341;473683861
AJM01;ESPTF10-RL01SR01BG01;HIJO N2;BOMBA RODILLO SUPERIOR;481712401;480820341
AJM01;ESPTF10-RL01SR01BG02;HIJO N2;BOMBA RODILLO INFERIOR;482604461;480820341
AJM01;ESPTF10-RL01SR01ME01;HIJO N2;MOTOR BOMBA RODILLO SUPERIOR;483496521;480820341
AJM01;ESPTF10-RL01SR01ME02;HIJO N2;MOTOR BOMBA RODILLO INFERIOR;484388581;480820341
AJM01;ESPTF10-RL01TP01    ;HIJO N1;TABLERO ELECTRICO (BOMBAS);485280641;473683861
AJM01;ESPTF10-TB01;PADRE;TABLET ;489071896;438893521
AJM01;ESPTF10-TE01;PADRE;TABLERO FUERZA ;486172701;438893521
AJM01;ESPTF10-TE01AA01;HIJO N1;AIRE ACONDICIONADO TABLERO ELECTRICO;487064761;486172701
AJM01;ESPTF10-TE02;PADRE;MICROPHASER ;487510791;438893521
AJM01;ESPTF10-TE02AA01;HIJO N1;AIRE ACONDICIONADO CTRL ELE FOR;487733806;487510791
AJM01;ESPTF10-TQ01        ;PADRE;TROQUELADORA ;489740941;438893521
AJM01;ESPTF10-TQ01ME01    ;HIJO N1;MOTOR CANOPY TROQUELADORA;490633001;489740941
AJM01;ESPTF10-TQ01ME02    ;HIJO N1;MOTOR TROQUEL TROQUELADORA;491525061;489740941
AJM01;ESPTF10-TQ01ME03    ;HIJO N1;MOTOR SERVOPICK TROQUELADORA;492417121;489740941
AJM01;ESPTF10-TQ01RD01    ;HIJO N1;REDUCTOR CANOPY TROQUELADORA;493309181;489740941
AJM01;ESPTF10-TQ01RD03    ;HIJO N1;REDUCTOR TROQUEL TROQUELADORA;494201241;489740941
AJM01;ESPTF10-TQ01TE01;HIJO N1;TABLERO DE FUERZA TROQUELADORA;495093301;489740941
AJM01;ESPTF10-TQ01TE02;HIJO N1;PANEL DE PULSADORES TROQUELADORA;495539331;489740941
AJM01;ESPTF11             ;LINEA;LINEA DE TERMOFORMADO 11;496877421;226583241
AJM01;ESPTF11-DE01        ;PADRE;DESEMBOBINADOR ;497769481;496877421
AJM01;ESPTF11-DE01ME01    ;HIJO N1;MOTOR DESEMBOBINADOR;498661541;497769481
AJM01;ESPTF11-DE01RD01    ;HIJO N1;REDUCTOR DESEMBOBINADOR;499553601;497769481
AJM01;ESPTF11-FM01        ;PADRE;FORMADORA ;500445661;496877421
AJM01;ESPTF11-FM01BV01    ;HIJO N1;BOMBA DE VACIO FORMADORA;501337721;500445661
AJM01;ESPTF11-FM01BV01ME01;HIJO N2;MOTOR BOMBA DE VACIO FORMADORA;502229781;501337721
AJM01;ESPTF11-FM01ME01    ;HIJO N1;MOTOR MOLDE SUP FORMADORA;503121841;500445661
AJM01;ESPTF11-FM01ME02;HIJO N1;MOTOR MOLDE INF FORMADORA;504013901;500445661
AJM01;ESPTF11-FM01ME03;HIJO N1;MOTOR DE LA CADENA TRANS LAMINA FORMADORA;504459931;500445661
AJM01;ESPTF11-FM01RD01    ;HIJO N1;REDUCTOR MOLDE SUP FORMADORA;504905961;500445661
AJM01;ESPTF11-FM01RD02    ;HIJO N1;REDUCTOR MOLDE INF FORMADORA;505798021;500445661
AJM01;ESPTF11-FM01SR01;HIJO N1;CIRCUITO DE AGUA MOKON MOKON FORMADORA;506690081;500445661
AJM01;ESPTF11-FM01SR01BG01;HIJO N2;BOMBA MOKON FORMADORA;507582141;506690081
AJM01;ESPTF11-FM01SR01BG02;HIJO N2;BOMBA MOKON FORMADORA;508474201;506690081
AJM01;ESPTF11-FM01SR01ME01;HIJO N2;MOTOR BOMBA MOKON FORMADORA;509366261;506690081
AJM01;ESPTF11-FM01SR01ME02;HIJO N2;MOTOR BOMBA MOKON FORMADORA;510258321;506690081
AJM01;ESPTF11-FM01SR01TE01;HIJO N2;CAJA DE CONEXIONES MOKON FORMADORA;510704351;506690081
AJM01;ESPTF11-FM01SR01TE02;HIJO N2;CAJA DE CONEXIONES MOKON FORMADORA;510927366;506690081
AJM01;ESPTF11-FM01TE01;HIJO N1;CAJA DE PASO ARRANQUE Y PARADA TRANS LAMINA FORMADORA;511038873;500445661
AJM01;ESPTF11-FM01TE02;HIJO N1;CAJA DE CONEXIONES IZQ TRANS LAMINA FORMADORA;511094627;500445661
AJM01;ESPTF11-FM01TE03;HIJO N1;CAJA DE CONEXIONES DER TRANS LAMINA FORMADORA;511122504;500445661
AJM01;ESPTF11-HF01        ;PADRE;HORNO ELECTRICO ;511150381;496877421
AJM01;ESPTF11-ML01;PADRE;MOLINO ;512934501;496877421
AJM01;ESPTF11-ML01ME01    ;HIJO N1;MOTOR MOLINO;513826561;512934501
AJM01;ESPTF11-ML01ME02    ;HIJO N1;MOTOR DEL BLOWER MOLINO;514718621;512934501
AJM01;ESPTF11-ML01RD01;HIJO N1;REDUCTOR MOLINO;515610681;512934501
AJM01;ESPTF11-TB01;PADRE;TABLET ;517840831;496877421
AJM01;ESPTF11-TE01;PADRE;TABLERO FUERZA ;518286861;496877421
AJM01;ESPTF11-TE01AA01;HIJO N1;AIRE ACONDICIONADO TABLERO ELECTRICO ELECTRICO;519178921;518286861
AJM01;ESPTF11-TE02;PADRE;MICROPHASER ;519624951;496877421
AJM01;ESPTF11-TE02AA01;HIJO N1;AIRE ACONDICIONADO MICROPHASER  CTRL ELE FOR;520740026;519624951
AJM01;ESPTF11-TQ01        ;PADRE;TROQUELADORA ;521855101;496877421
AJM01;ESPTF11-TQ01ME01    ;HIJO N1;MOTOR CANOPY TROQUELADORA;522747161;521855101
AJM01;ESPTF11-TQ01ME02    ;HIJO N1;MOTOR  TROQUELADORA;523639221;521855101
AJM01;ESPTF11-TQ01ME03    ;HIJO N1;MOTOR SERVOPICK TROQUELADORA;524531281;521855101
AJM01;ESPTF11-TQ01RD01    ;HIJO N1;REDUCTOR CANOPY TROQUELADORA;525423341;521855101
AJM01;ESPTF11-TQ01RD03    ;HIJO N1;REDUCTOR  TROQUELADORA;526315401;521855101
AJM01;ESPTF11-TQ01TE01;HIJO N1;TABLERO DE FUERZA TABLERO TROQUELADORA;527207461;521855101
AJM01;ESPTF11-TQ01TE02;HIJO N1;PANEL DE PULSADORES TABLERO TROQUELADORA;527653491;521855101
AJM01;ESPTF12             ;LINEA;LINEA DE TERMOFORMADO 12;528991581;226583241
AJM01;ESPTF12-DE01        ;PADRE;EXTRUCTURA DESBOBINADOR;529883641;528991581
AJM01;ESPTF12-DE01ME01    ;HIJO N1;MOTOR DESBOBINADOR;530775701;529883641
AJM01;ESPTF12-DE01RD01    ;HIJO N1;REDUCTOR DESBOBINADOR;531667761;529883641
AJM01;ESPTF12-FM01;PADRE;FORMADORA FORMADORA FORM  ;532559821;528991581
AJM01;ESPTF12-FM01BV01    ;HIJO N1;BOMBA DE VACIO B. VACIO FORM  ;533451881;532559821
AJM01;ESPTF12-FM01BV01ME01;HIJO N2;MOTOR B. VACIO FORM  ;534343941;533451881
